Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,21.9,21.95,21.61,21.7,21.7,135674
2014-12-30,0.17,0.19,0.15,0.16,0.16,207828
2014-12-31,0.12,0.12,0.12,0.12,0.12,0
2015-01-02,22.0,22.0,21.85,21.89,21.89,105424
2015-01-05,64.5,66.07,61.8,61.8,61.8,29478
2015-01-06,21.75,21.9,21.7,21.9,21.9,241674
2015-01-07,21.9,22.0,21.81,21.92,21.92,275127
2015-01-08,22.0,22.01,21.82,22.0,22.0,993133
2015-01-09,22.0,22.0,21.94,22.0,22.0,84202
2015-01-12,21.9,22.0,21.8,21.88,21.88,178882
2015-01-13,21.95,22.0,21.8,21.94,21.94,278547
2015-01-14,21.98,21.98,21.8,21.9,21.9,882479
2015-01-15,0.1,0.1,0.1,0.1,0.1,0
2015-01-16,21.98,22.35,21.83,22.24,22.24,1712735
2015-01-20,22.05,22.49,22.05,22.19,22.19,1706123
2015-01-21,22.4,22.44,22.15,22.2,22.2,1300405
2015-01-22,22.2,22.8,22.14,22.6,22.6,487951
2015-01-23,22.6,23.49,22.6,23.0,23.0,438779
2015-01-26,22.72,23.0,22.72,22.95,22.95,512372
2015-01-27,0.15,0.16,0.12,0.14,0.14,451754
2015-01-28,0.14,0.14,0.12,0.14,0.14,172965
2015-01-29,0.11,0.11,0.11,0.11,0.11,0
2015-01-30,0.11,0.11,0.11,0.11,0.11,0
2015-02-02,70.05,71.92,70.05,70.1,70.1,20404
2015-02-03,0.14,0.17,0.14,0.14,0.14,508738
2015-02-04,71.0,71.01,69.5,70.98,70.98,14395
2015-02-05,0.16,0.2,0.16,0.18,0.18,223853
2015-02-06,0.18,0.28,0.18,0.2,0.2,722285
2015-02-09,0.21,0.22,0.2,0.22,0.22,657140
2015-02-10,71.27,72.1,71.01,71.7,71.7,26716
2015-02-11,0.19,0.2,0.18,0.2,0.2,191316
2015-02-12,0.2,0.2,0.17,0.18,0.18,137983
2015-02-13,0.1,0.1,0.1,0.1,0.1,0
2015-02-17,23.09,72.0,22.98,71.65,71.65,161136
2015-02-18,0.18,0.21,0.18,0.18,0.18,251211
2015-02-19,0.18,0.2,0.17,0.19,0.19,101954
2015-02-20,0.12,0.12,0.11,0.11,0.11,45454
2015-02-23,0.19,0.2,0.17,0.18,0.18,281661
2015-02-24,22.95,23.15,22.95,23.05,23.05,635472
2015-02-25,0.18,0.18,0.16,0.16,0.16,124413
2015-02-26,0.16,0.18,0.16,0.18,0.18,79798
2015-02-27,76.0,77.0,75.81,77.0,77.0,82644
2015-03-02,77.0,77.9,77.0,77.8,77.8,89478
2015-03-03,0.18,0.18,0.16,0.16,0.16,139055
2015-03-04,77.5,77.5,76.18,76.67,76.67,63212
2015-03-05,23.53,24.97,23.5,24.4,24.4,1387769
2015-03-06,0.14,0.14,0.14,0.14,0.14,4000
2015-03-09,23.54,24.96,23.54,23.6,23.6,432857
2015-03-10,0.14,0.14,0.13,0.13,0.13,7345
2015-03-11,81.3,81.42,78.08,79.4,79.4,148773
2015-03-12,79.89,80.0,78.6,79.15,79.15,106720
2015-03-13,79.0,79.83,73.5,78.01,78.01,96059
2015-03-16,78.0,79.15,76.72,79.1,79.1,79644
2015-03-17,0.14,0.14,0.13,0.13,0.13,106781
2015-03-18,0.13,0.17,0.12,0.13,0.13,72625
2015-03-19,0.12,0.16,0.12,0.13,0.13,141328
2015-03-20,26.54,27.28,25.32,27.02,27.02,7226924
2015-03-23,0.16,0.18,0.16,0.16,0.16,23642
2015-03-24,0.16,0.17,0.16,0.16,0.16,98429
2015-03-25,0.14,0.14,0.14,0.14,0.14,0
2015-03-26,79.95,80.34,79.21,79.5,79.5,82391
2015-03-27,79.5,81.21,79.35,80.93,80.93,95307
2015-03-30,0.16,0.18,0.13,0.14,0.14,148726
2015-03-31,82.15,82.98,80.68,81.0,81.0,75306
2015-04-01,81.0,81.0,78.6,79.3,79.3,45984
2015-04-02,0.14,0.14,0.13,0.14,0.14,36000
2015-04-06,0.15,0.15,0.14,0.14,0.14,11500
2015-04-07,0.14,0.14,0.13,0.13,0.13,25000
2015-04-08,80.6,82.46,80.12,82.46,82.46,93750
2015-04-09,82.46,83.94,81.34,83.94,83.94,93762
2015-04-10,84.0,86.4,83.5,84.97,84.97,117452
2015-04-13,84.5,84.98,83.47,84.13,84.13,74771
2015-04-14,84.59,87.98,84.2,87.6,87.6,136985
2015-04-15,86.0,86.95,24.78,24.83,24.83,325146
2015-04-16,86.5,87.5,86.08,87.5,87.5,163243
2015-04-17,87.5,87.5,84.5,84.5,84.5,115466
2015-04-20,0.12,0.13,0.12,0.13,0.13,245500
2015-04-21,0.13,0.14,0.12,0.13,0.13,86000
2015-04-22,84.42,85.16,82.15,85.16,85.16,42220
2015-04-23,0.13,0.13,0.12,0.12,0.12,31500
2015-04-24,87.07,87.07,86.0,86.32,86.32,26299
2015-04-27,25.1,25.1,25.1,25.1,25.1,0
2015-04-28,87.0,87.6,85.33,85.33,85.33,29126
2015-04-29,25.2,25.2,24.9,25.0,25.0,635953
2015-04-30,0.12,0.13,0.12,0.12,0.12,89000
2015-05-01,82.0,82.0,24.92,24.92,24.92,0
2015-05-04,25.19,25.23,24.51,24.66,24.66,1200058
2015-05-05,81.66,82.54,81.53,82.54,82.54,37853
2015-05-06,82.63,84.31,82.57,84.31,84.31,13123
2015-05-07,0.12,0.12,0.12,0.12,0.12,35000
2015-05-08,0.15,0.15,0.15,0.15,0.15,0
2015-05-11,25.1,25.11,24.8,25.0,25.0,330719
2015-05-12,24.95,24.95,24.38,24.5,24.5,531570
2015-05-13,0.12,0.12,0.12,0.12,0.12,17000
2015-05-14,0.12,0.12,0.12,0.12,0.12,12000
2015-05-15,81.1,82.77,81.1,82.7,82.7,17676
2015-05-18,0.18,0.18,0.18,0.18,0.18,0
2015-05-19,0.12,0.13,0.12,0.13,0.13,118500
