Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,54.14,55.08,54.03,54.73,53.3,9887500
2014-12-30,54.51,54.95,54.25,54.84,53.4,8188600
2014-12-31,54.95,55.07,54.1,54.11,52.69,10193000
2015-01-02,54.36,54.69,53.79,54.26,52.84,11137800
2015-01-05,53.91,53.96,52.33,52.55,51.17,20945400
2015-01-06,52.68,52.77,50.53,50.7,49.37,31989300
2015-01-07,51.51,51.55,50.62,51.17,49.83,27890800
2015-01-08,51.77,52.08,51.5,51.94,50.58,17467200
2015-01-09,52.17,52.24,50.77,50.78,49.45,20164300
2015-01-12,50.82,50.91,50.03,50.38,49.06,22725800
2015-01-13,50.66,51.23,49.61,50.02,48.71,23201800
2015-01-14,48.96,49.1,47.77,49.05,47.76,44630800
2015-01-15,48.06,48.24,46.91,47.23,45.99,48799400
2015-01-16,46.7,47.69,46.6,47.61,46.36,32307000
2015-01-20,47.98,48.0,47.15,47.26,46.02,25561000
2015-01-21,47.37,48.23,47.15,47.74,46.49,22873300
2015-01-22,48.26,49.75,47.93,49.57,48.27,29652600
2015-01-23,49.49,49.76,48.61,48.62,47.35,18880700
2015-01-26,48.48,49.03,48.41,48.89,47.61,13817500
2015-01-27,48.04,48.65,47.77,48.31,47.04,16401200
2015-01-28,48.37,48.51,47.11,47.11,45.87,26065300
2015-01-29,47.07,47.78,46.83,47.62,46.38,19865700
2015-01-30,47.09,47.73,46.9,46.95,45.73,23729800
2015-02-02,47.2,47.77,46.9,47.72,46.48,19178200
2015-02-03,48.46,49.22,48.35,48.88,47.61,25220200
2015-02-04,48.57,49.0,48.3,48.4,47.14,19581800
2015-02-05,48.74,49.0,48.22,48.54,47.28,15481900
2015-02-06,49.4,49.95,49.06,49.14,47.86,25752200
2015-02-09,48.86,49.51,48.44,49.21,47.93,16364900
2015-02-10,50.0,50.06,49.14,49.39,48.11,17223700
2015-02-11,49.15,49.88,49.11,49.68,48.39,13079500
2015-02-12,49.94,51.09,49.77,50.89,49.57,28926800
2015-02-13,51.01,51.49,50.81,51.2,49.87,17448500
2015-02-17,50.95,51.8,50.9,51.69,50.35,14569400
2015-02-18,51.3,51.67,51.09,51.42,50.08,17659700
2015-02-19,51.28,51.54,51.04,51.12,49.79,11272000
2015-02-20,51.05,51.91,50.36,51.78,50.43,19429400
2015-02-23,51.53,51.54,50.75,51.32,49.99,15282600
2015-02-24,51.42,52.3,51.39,51.9,50.55,20244100
2015-02-25,51.65,52.11,51.55,52.09,50.74,10666000
2015-02-26,52.03,52.49,51.91,52.41,51.05,16358100
2015-02-27,52.32,52.87,52.17,52.42,51.06,18588400
2015-03-02,52.42,53.52,52.05,53.49,52.1,19384200
2015-03-03,53.94,54.0,53.43,53.73,52.33,24281900
2015-03-04,53.48,53.86,53.24,53.67,52.27,14610000
2015-03-05,53.71,53.73,53.15,53.56,52.17,13853800
2015-03-06,53.75,54.01,52.93,53.06,51.68,40296600
2015-03-09,52.88,53.17,52.77,52.95,51.57,17542600
2015-03-10,52.07,52.3,51.23,51.23,49.9,28713300
2015-03-11,51.62,52.76,51.52,52.33,50.97,32443600
2015-03-12,54.0,54.72,53.45,54.08,52.67,50191200
2015-03-13,53.9,54.24,53.26,53.54,52.15,20780600
2015-03-16,53.74,54.04,53.4,53.69,52.29,17031600
2015-03-17,53.21,53.99,53.16,53.84,52.44,13740300
2015-03-18,53.42,53.94,53.17,53.72,52.32,18378200
2015-03-19,53.57,53.62,52.2,52.38,51.02,21150000
2015-03-20,52.44,53.17,52.41,52.98,51.6,22466200
2015-03-23,53.03,53.05,52.48,52.48,51.11,13106800
2015-03-24,52.35,52.44,51.94,51.94,50.59,12887700
2015-03-25,51.98,52.11,51.35,51.38,50.04,15418200
2015-03-26,51.19,51.46,50.47,51.19,49.86,21839600
2015-03-27,51.49,51.49,50.72,51.0,49.67,15920100
2015-03-30,51.33,52.0,51.31,51.64,50.3,13289200
2015-03-31,51.26,51.77,51.16,51.52,50.18,13928900
2015-04-01,51.37,51.9,51.01,51.62,50.28,21574400
2015-04-02,51.68,52.22,51.59,51.86,50.51,13966900
2015-04-06,51.16,51.96,50.98,51.62,50.28,13250800
2015-04-07,51.83,51.93,51.39,51.52,50.18,11562700
2015-04-08,51.67,52.22,51.63,51.89,50.54,11773000
2015-04-09,51.73,52.21,51.69,52.13,50.77,13591400
2015-04-10,52.08,52.68,51.98,52.43,51.07,13032000
2015-04-13,52.48,52.95,52.41,52.66,51.29,11984400
2015-04-14,52.93,53.0,52.38,52.73,51.36,13238100
2015-04-15,52.93,53.38,52.75,53.21,51.83,19041100
2015-04-16,53.98,54.46,53.8,54.02,52.61,38345600
2015-04-17,53.51,54.1,52.95,53.07,51.69,23287000
2015-04-20,53.3,53.57,53.09,53.2,51.82,14723600
2015-04-21,53.35,53.46,52.25,52.48,51.11,19554400
2015-04-22,52.52,53.38,52.35,53.1,51.72,14873400
2015-04-23,53.01,53.4,52.82,53.22,51.84,13049600
2015-04-24,53.16,53.22,52.85,52.9,51.52,10150500
2015-04-27,52.88,53.39,52.78,52.8,51.43,15613000
2015-04-28,52.67,53.1,52.25,53.02,51.64,14134500
2015-04-29,52.65,53.99,52.61,53.76,52.36,22542400
2015-04-30,53.75,53.97,52.92,53.32,51.93,19420600
2015-05-01,53.64,53.84,53.31,53.76,52.36,13147600
2015-05-04,53.85,54.26,53.74,54.17,52.76,15670100
2015-05-05,53.99,54.3,53.25,53.35,51.96,20669100
2015-05-06,53.56,53.9,52.35,52.82,51.45,19414800
2015-05-07,52.59,53.44,52.41,53.31,51.97,14954200
2015-05-08,53.55,54.11,53.3,54.02,52.66,17333500
2015-05-11,53.92,54.16,53.8,53.97,52.62,13896800
2015-05-12,53.67,53.98,53.23,53.74,52.39,13336900
2015-05-13,53.72,54.36,53.48,54.2,52.84,15810400
2015-05-14,54.43,54.73,54.33,54.6,53.23,14250800
2015-05-15,54.59,54.61,54.03,54.24,52.88,10377200
2015-05-18,54.19,54.9,54.17,54.67,53.3,11713000
2015-05-19,54.79,55.37,54.75,55.33,53.94,18207400
2015-05-20,55.27,55.3,54.75,54.89,53.51,13954600
2015-05-21,54.69,55.1,54.61,54.84,53.46,11799200
2015-05-22,54.78,55.33,54.68,54.97,53.59,12652000
2015-05-26,54.75,54.84,54.01,54.24,52.88,16564500
2015-05-27,54.34,54.98,54.2,54.87,53.49,13699400
2015-05-28,54.82,54.82,54.22,54.55,53.18,13380900
2015-05-29,54.46,54.49,53.87,54.08,52.72,13817100
2015-06-01,54.68,55.05,54.44,54.45,53.08,18156300
2015-06-02,54.4,55.02,54.13,54.72,53.35,17765400
2015-06-03,55.04,56.02,55.01,55.63,54.23,21240500
2015-06-04,55.45,56.0,55.16,55.33,53.94,18517600
2015-06-05,56.02,56.58,55.84,56.24,54.83,26500400
2015-06-08,56.25,56.5,55.65,55.65,54.25,14908800
2015-06-09,55.57,56.36,55.22,56.0,54.59,15193100
2015-06-10,56.27,57.21,56.18,57.02,55.59,21275600
