Date,Open,High,Low,Close,Adj Close,Volume
2014-01-03,16470.0,16470.0,16470.0,16470.0,16470.0,0.0
2014-01-06,16425.1,16425.1,16425.1,16425.1,16425.1,0.0
2014-01-07,,,,,,
2014-01-08,,,,,,
2014-01-09,,,,,,
2014-01-10,,,,,,
2014-01-13,,,,,,
2014-01-14,,,,,,
2014-01-15,,,,,,
2014-01-16,,,,,,
2014-01-17,,,,,,
2014-01-21,,,,,,
2014-01-22,,,,,,
2014-01-23,,,,,,
2014-01-24,,,,,,
2014-01-27,,,,,,
2014-01-28,,,,,,
2014-01-29,,,,,,
2014-01-30,,,,,,
2014-01-31,,,,,,
2014-02-03,,,,,,
2014-02-04,15445.2,15445.2,15445.2,15445.2,15445.2,0.0
2014-02-05,,,,,,
2014-02-06,,,,,,
2014-02-07,,,,,,
2014-02-10,,,,,,
2014-02-11,,,,,,
2014-02-12,,,,,,
2014-02-13,,,,,,
2014-02-14,,,,,,
2014-02-18,,,,,,
2014-02-19,,,,,,
2014-02-20,,,,,,
2014-02-21,,,,,,
2014-02-24,,,,,,
2014-02-25,16179.7,16179.7,16179.7,16179.7,16179.7,0.0
2014-02-26,,,,,,
2014-02-27,,,,,,
2014-02-28,,,,,,
2014-03-03,,,,,,
2014-03-04,,,,,,
2014-03-05,,,,,,
2014-03-06,,,,,,
2014-03-07,,,,,,
2014-03-10,16418.7,16418.7,16418.7,16418.7,16418.7,0.0
2014-03-11,,,,,,
2014-03-12,,,,,,
2014-03-13,,,,,,
2014-03-14,,,,,,
2014-03-17,,,,,,
2014-03-18,,,,,,
2014-03-19,,,,,,
2014-03-20,,,,,,
2014-03-21,,,,,,
2014-03-24,,,,,,
2014-03-25,,,,,,
2014-03-26,,,,,,
2014-03-27,,,,,,
2014-03-28,,,,,,
2014-03-31,,,,,,
2014-04-01,,,,,,
2014-04-02,,,,,,
2014-04-03,,,,,,
2014-04-04,,,,,,
2014-04-07,16414.2,16421.4,16244.2,16245.9,16245.9,84650136.0
2014-04-08,,,,,,
2014-04-09,,,,,,
2014-04-10,16437.2,16456.1,16153.3,16170.2,16170.2,87947124.0
2014-04-11,,,,,,
2014-04-14,,,,,,
2014-04-15,,,,,,
2014-04-16,,,,,,
2014-04-17,,,,,,
2014-04-21,,,,,,
2014-04-22,,,,,,
2014-04-23,,,,,,
2014-04-24,,,,,,
2014-04-25,,,,,,
2014-04-28,,,,,,
2014-04-29,16451.2,16559.4,16451.2,16535.4,16535.4,57273936.0
2014-04-30,,,,,,
2014-05-01,16580.3,16604.8,16525.2,16558.9,16558.9,60392816.0
2014-05-02,,,,,,
2014-05-05,,,,,,
2014-05-06,16529.8,16529.8,16400.0,16401.0,16401.0,54843287.0
2014-05-07,16401.7,16522.9,16357.3,16518.5,16518.5,70581927.0
2014-05-08,16518.2,16622.9,16502.0,16551.0,16551.0,61006956.0
2014-05-09,,,,,,
2014-05-12,16584.8,16704.8,16584.8,16695.5,16695.5,48889914.0
2014-05-13,,,,,,
2014-05-14,16716.1,16717.6,16595.0,16614.0,16614.0,49783250.0
2014-05-15,,,,,,
2014-05-16,,,,,,
2014-05-19,,,,,,
2014-05-20,,,,,,
2014-05-21,,,,,,
2014-05-22,,,,,,
2014-05-23,,,,,,
2014-05-27,,,,,,
2014-05-28,,,,,,
2014-05-29,,,,,,
2014-05-30,,,,,,
2014-06-02,,,,,,
2014-06-03,,,,,,
2014-06-04,,,,,,
2014-06-05,16739.1,16845.8,16709.9,16836.1,16836.1,51722707.0
2014-06-06,,,,,,
2014-06-09,16926.1,16970.2,16912.9,16943.1,16943.1,47466516.0
2014-06-10,16940.4,16945.0,16897.4,16945.9,16945.9,48320385.0
2014-06-11,16943.2,16943.2,16821.8,16843.9,16843.9,45411282.0
2014-06-12,16840.5,16841.6,16703.7,16734.2,16734.2,50634397.0
2014-06-13,16734.6,16787.9,16718.6,16775.7,16775.7,66687712.0
2014-06-16,16765.6,16802.1,16722.9,16781.0,16781.0,48625746.0
2014-06-17,16779.2,16823.6,16732.9,16808.5,16808.5,51240313.0
2014-06-18,16806.1,16911.4,16755.3,16906.6,16906.6,52101559.0
2014-06-19,16909.9,16923.4,16858.9,16921.5,16921.5,57467563.0
2014-06-20,16920.6,16978.0,16920.6,16947.1,16947.1,176836280.0
2014-06-23,16946.5,16954.3,16896.1,16937.3,16937.3,46745801.0
2014-06-24,16934.6,16969.7,16805.2,16818.1,16818.1,53143987.0
2014-06-25,16817.7,16883.5,16799.4,16867.5,16867.5,50414677.0
2014-06-26,16866.8,16872.5,16746.1,16846.1,16846.1,48931719.0
2014-06-27,16846.9,16862.7,16773.8,16851.8,16851.8,52077998.0
2014-06-30,16852.5,16871.3,16801.9,16826.6,16826.6,45648123.0
2014-07-01,,,,,,
2014-07-02,16949.7,16986.6,16949.7,16976.2,16976.2,41074134.0
2014-07-03,16979.0,17074.7,16979.0,17068.3,17068.3,66795126.0
2014-07-07,17063.8,17063.8,16992.4,17024.2,17024.2,43716062.0
2014-07-08,,,,,,
2014-07-09,,,,,,
2014-07-10,,,,,,
2014-07-11,16918.3,16949.5,16860.3,16943.8,16943.8,50218845.0
2014-07-14,16950.9,17088.4,16950.9,17055.4,17055.4,45720421.0
2014-07-15,17055.0,17120.3,17006.4,17060.7,17060.7,60229639.0
2014-07-16,17061.9,17139.3,17061.9,17138.2,17138.2,93429896.0
2014-07-17,17133.4,17151.6,16966.2,16976.8,16976.8,81112547.0
2014-07-18,16978.2,17113.5,16977.5,17100.2,17100.2,86683472.0
2014-07-21,,,,,,
2014-07-22,,,,,,
2014-07-23,17117.0,17121.1,17058.1,17086.6,17086.6,56363607.0
2014-07-24,110.0,122.0,110.0,115.5,115.5,877659.0
2014-07-25,17079.5,17082.3,16915.7,16960.6,16960.6,45282827.0
2014-07-28,16956.9,17001.4,16877.7,16982.6,16982.6,51871429.0
2014-07-29,16984.3,17056.5,16918.4,16912.1,16912.1,59798225.0
2014-07-30,16920.1,16983.9,16817.2,16880.4,16880.4,58605288.0
2014-07-31,119.8,120.0,116.0,117.5,117.5,73629.0
