Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,15.37,15.68,15.34,15.52,13.2,19137500
2014-12-30,15.48,15.6,15.45,15.5,13.19,14795000
2014-12-31,15.51,15.64,15.47,15.5,13.19,17930200
2015-01-02,15.59,15.65,15.18,15.36,13.07,24777900
2015-01-05,15.12,15.13,14.69,14.76,12.56,44079700
2015-01-06,14.88,14.9,14.38,14.62,12.44,32981600
2015-01-07,14.78,15.09,14.77,15.04,12.79,26065300
2015-01-08,15.4,15.48,15.23,15.42,13.12,33943400
2015-01-09,15.46,15.47,15.06,15.21,12.94,23381300
2015-01-12,15.31,15.32,15.11,15.22,12.95,22750800
2015-01-13,15.38,15.48,15.08,15.21,12.94,26279400
2015-01-14,15.07,15.16,14.83,15.11,12.85,36798300
2015-01-15,15.11,15.16,14.8,14.86,12.64,24981300
2015-01-16,14.81,15.04,14.75,15.02,12.78,32089900
2015-01-20,15.08,15.13,14.75,15.01,12.77,27102400
2015-01-21,14.98,15.11,14.88,14.97,12.73,23281500
2015-01-22,15.01,15.07,14.9,15.03,12.79,23669200
2015-01-23,15.02,15.08,14.89,14.91,12.68,21498200
2015-01-26,14.98,15.15,14.97,15.08,12.83,25237200
2015-01-27,14.96,14.99,14.72,14.85,12.63,34609100
2015-01-28,14.83,14.83,14.42,14.46,12.43,40579800
2015-01-29,14.62,14.96,14.3,14.85,12.76,40731100
2015-01-30,14.75,14.89,14.63,14.71,12.64,30439700
2015-02-02,14.75,15.3,14.74,15.27,13.12,40371800
2015-02-03,15.47,15.79,15.44,15.65,13.45,48264500
2015-02-04,15.68,16.02,15.65,15.87,13.64,41179500
2015-02-05,16.01,16.02,15.75,15.85,13.62,25713200
2015-02-06,15.84,16.0,15.77,15.86,13.63,28016500
2015-02-09,15.76,16.03,15.72,15.92,13.68,20286700
2015-02-10,16.05,16.14,15.91,16.09,13.83,27928500
2015-02-11,16.08,16.31,16.01,16.25,13.96,34285300
2015-02-12,16.34,16.45,16.3,16.36,14.06,23738800
2015-02-13,16.33,16.36,16.19,16.3,14.01,19954600
2015-02-17,16.21,16.3,16.0,16.11,13.84,44362300
2015-02-18,16.16,16.33,16.06,16.21,13.93,22403500
2015-02-19,16.19,16.48,16.17,16.43,14.12,24863900
2015-02-20,16.39,16.46,16.25,16.4,14.09,21523600
2015-02-23,16.33,16.45,16.29,16.38,14.08,19016800
2015-02-24,16.36,16.42,16.28,16.36,14.06,17668600
2015-02-25,16.34,16.62,16.34,16.51,14.19,23320200
2015-02-26,16.4,16.57,16.37,16.38,14.08,20800000
2015-02-27,16.38,16.4,16.22,16.34,14.04,20337000
2015-03-02,16.34,16.59,16.34,16.57,14.24,26341100
2015-03-03,16.07,16.3,16.06,16.17,13.9,37689000
2015-03-04,16.09,16.14,15.93,16.03,13.78,25652600
2015-03-05,16.09,16.23,16.09,16.11,13.84,16548200
2015-03-06,16.04,16.2,15.91,15.93,13.69,24420500
2015-03-09,15.98,16.1,15.93,16.03,13.78,17132400
2015-03-10,15.94,15.95,15.69,15.72,13.51,31326500
2015-03-11,15.77,15.85,15.7,15.75,13.53,20638700
2015-03-12,15.88,16.23,15.86,16.17,13.9,31172200
