Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,33.87,34.83,33.79,34.6,30.4,16654300
2014-12-30,34.56,35.2,34.41,35.09,30.83,14966900
2014-12-31,35.24,35.45,34.89,34.91,30.67,12279700
2015-01-02,35.27,35.31,34.41,34.84,30.61,9756700
2015-01-05,34.98,35.25,34.07,34.33,30.16,16223000
2015-01-06,34.41,35.22,34.1,34.85,30.62,17747600
2015-01-07,35.23,35.95,35.04,35.84,31.49,19319200
2015-01-08,36.06,36.45,35.8,36.2,31.8,15206600
2015-01-09,36.21,36.37,35.41,35.59,31.27,14515500
2015-01-12,35.81,35.94,35.47,35.84,31.49,10656700
2015-01-13,36.08,36.4,34.68,35.25,30.97,21893500
2015-01-14,34.36,34.57,33.59,34.3,30.13,27901300
2015-01-15,34.78,34.87,33.38,33.43,29.37,19437400
2015-01-16,33.31,33.79,33.27,33.68,29.59,17780000
2015-01-20,33.9,34.01,33.35,33.93,29.81,11904100
2015-01-21,33.82,34.12,33.52,33.89,29.77,14349900
2015-01-22,34.15,34.18,33.31,33.82,29.71,14261100
2015-01-23,33.9,34.18,33.71,33.75,29.65,13970000
2015-01-26,33.71,34.04,33.6,33.7,29.61,10824800
2015-01-27,33.4,33.69,33.15,33.42,29.36,14793300
2015-01-28,33.51,33.57,32.75,32.84,28.85,16936200
2015-01-29,32.91,33.34,32.36,33.16,29.13,15819200
2015-01-30,32.88,33.15,32.62,32.62,28.66,19166500
2015-02-02,32.67,33.15,32.44,33.11,29.09,18397000
2015-02-03,33.5,34.2,33.44,33.98,29.85,26162100
2015-02-04,35.27,35.98,34.15,35.83,31.48,49298100
2015-02-05,36.28,36.6,36.01,36.25,31.85,20854900
2015-02-06,36.26,36.54,35.92,36.0,31.63,16240100
2015-02-09,35.79,36.1,35.51,36.0,31.63,14797500
2015-02-10,37.28,37.55,36.4,37.52,32.96,32369400
2015-02-11,37.51,37.86,37.28,37.67,33.1,22634000
2015-02-12,37.85,38.18,37.73,38.02,33.4,15537400
2015-02-13,37.93,38.07,37.35,37.62,33.05,14696300
2015-02-17,37.2,37.47,37.05,37.24,32.72,13147100
2015-02-18,37.25,37.48,37.13,37.19,32.67,8482500
2015-02-19,37.03,37.61,36.98,37.51,32.96,11780800
2015-02-20,37.49,37.72,37.16,37.65,33.08,9345200
2015-02-23,37.62,37.77,37.34,37.69,33.11,10970200
2015-02-24,37.62,37.91,37.58,37.75,33.17,8560000
2015-02-25,37.79,37.96,37.61,37.86,33.26,11161500
2015-02-26,37.81,38.13,37.51,37.56,33.0,10708200
2015-02-27,37.38,37.45,37.11,37.31,32.78,10490200
2015-03-02,37.31,37.71,37.31,37.61,33.04,11234200
2015-03-03,37.38,37.81,37.3,37.8,33.21,10036000
2015-03-04,37.63,37.8,37.3,37.57,33.01,12580400
2015-03-05,37.64,37.82,37.56,37.61,33.04,6620700
2015-03-06,37.46,37.55,36.73,36.84,32.37,13764200
2015-03-09,37.55,37.81,37.32,37.66,33.36,22979300
2015-03-10,37.43,37.78,37.15,37.55,33.26,20265300
2015-03-11,37.6,38.13,37.52,37.78,33.46,13191600
2015-03-12,37.86,38.47,37.84,38.43,34.04,13986000
2015-03-13,38.39,38.39,37.73,38.05,33.7,11404200
2015-03-16,38.27,38.6,38.21,38.58,34.17,11219000
2015-03-17,38.15,38.47,38.06,38.29,33.92,9686300
2015-03-18,38.17,38.6,37.78,38.5,34.1,18798800
2015-03-19,38.45,38.78,38.29,38.65,34.24,11255700
2015-03-20,38.76,38.93,38.55,38.87,34.43,19769700
2015-03-23,38.81,38.99,38.59,38.59,34.18,11372500
2015-03-24,38.52,38.52,37.75,37.85,33.53,15855900
2015-03-25,37.88,37.91,37.37,37.38,33.11,10209800
2015-03-26,37.7,37.91,37.15,37.35,33.08,13814500
2015-03-27,37.34,37.48,37.08,37.31,33.05,9227700
2015-03-30,37.58,37.87,37.53,37.68,33.38,9980300
2015-03-31,37.68,38.04,37.47,37.5,33.22,12633400
2015-04-01,37.27,37.37,36.56,36.74,32.54,16561800
2015-04-02,36.61,36.73,36.33,36.5,32.33,16517700
2015-04-06,36.26,36.97,36.21,36.66,32.47,13179000
2015-04-07,35.99,36.09,35.64,35.73,31.65,56224000
2015-04-08,35.89,36.19,35.75,36.11,31.99,27460300
2015-04-09,36.1,36.39,36.03,36.29,32.14,15475300
2015-04-10,36.74,36.78,36.37,36.57,32.39,16768900
2015-04-13,36.63,36.86,36.39,36.4,32.24,13530700
2015-04-14,36.46,36.82,36.44,36.48,32.31,12987800
2015-04-15,36.82,37.08,36.65,36.94,32.72,13734900
2015-04-16,37.13,37.18,36.74,37.08,32.84,12225800
2015-04-17,36.83,36.85,36.5,36.64,32.46,14375200
2015-04-20,36.95,37.17,36.75,37.11,32.87,13879800
2015-04-21,37.33,37.45,36.83,37.16,32.92,17130500
2015-04-22,37.13,37.22,36.67,37.16,32.92,16025100
2015-04-23,36.25,36.3,35.58,35.92,31.82,41820400
2015-04-24,35.72,35.81,35.44,35.59,31.52,21252500
2015-04-27,35.65,35.95,35.56,35.78,31.69,15497400
2015-04-28,35.75,35.96,35.17,35.72,31.64,14857500
2015-04-29,35.5,35.7,35.24,35.51,31.45,11907300
2015-04-30,35.26,35.43,34.93,35.06,31.06,15784500
2015-05-01,35.17,35.47,34.81,35.42,31.37,15307400
2015-05-04,35.5,35.72,35.4,35.4,31.36,12020100
2015-05-05,35.4,35.52,34.99,35.01,31.01,11068100
2015-05-06,35.14,35.23,34.55,34.77,30.8,13076200
2015-05-07,34.64,35.03,34.55,34.88,30.9,14033700
2015-05-08,35.05,35.46,35.03,35.32,31.29,12787000
2015-05-11,35.3,35.59,35.17,35.22,31.2,8833100
2015-05-12,34.96,34.96,34.51,34.74,30.77,14049300
2015-05-13,34.78,34.97,34.71,34.8,30.83,9196900
2015-05-14,35.0,35.04,34.53,34.65,30.69,12645300
2015-05-15,34.7,34.98,34.7,34.91,30.92,9778800
2015-05-18,34.97,35.21,34.85,35.05,31.05,10263100
2015-05-19,35.17,35.24,34.96,35.12,31.11,9856700
2015-05-20,35.24,35.3,34.66,35.02,31.02,12925600
2015-05-21,35.0,35.66,35.0,35.58,31.52,16016000
2015-05-22,35.52,35.74,35.42,35.7,31.62,9648200
2015-05-26,35.45,35.6,35.43,35.52,31.46,12566300
2015-05-27,35.52,35.81,35.43,35.81,31.72,10058300
2015-05-28,36.11,36.48,35.97,36.39,32.23,18063900
2015-05-29,36.49,36.58,35.85,35.97,31.86,15498900
2015-06-01,36.06,36.34,35.65,36.18,32.05,12012500
2015-06-02,36.09,36.5,35.97,36.22,32.08,16938000
2015-06-03,36.37,36.42,35.87,35.94,31.83,12817100
2015-06-04,35.66,35.87,35.47,35.54,31.48,10538500
2015-06-05,35.5,35.55,34.96,35.12,31.11,24629200
2015-06-08,34.86,35.12,34.8,34.99,31.31,15352200
2015-06-09,35.11,35.32,35.0,35.26,31.56,12901000
2015-06-10,35.45,35.62,35.29,35.59,31.85,11402200
2015-06-11,35.72,36.01,35.55,35.55,31.82,16819000
2015-06-12,35.38,35.9,35.38,35.71,31.96,11170200
2015-06-15,35.35,35.73,35.01,35.46,31.74,14016000
2015-06-16,35.36,35.78,35.17,35.61,31.87,6638600
