Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,47.7,47.78,47.26,47.45,43.98,14439500
2014-12-30,47.44,47.62,46.84,47.02,43.58,16384700
2014-12-31,46.73,47.44,46.45,46.45,43.05,21552500
2015-01-02,46.66,47.42,46.54,46.76,43.34,27913900
2015-01-05,46.37,46.73,46.25,46.33,42.94,39673900
2015-01-06,46.38,46.75,45.54,45.65,42.31,36447900
2015-01-07,45.98,46.46,45.49,46.23,42.85,29114100
2015-01-08,46.75,47.75,46.72,47.59,44.11,29645200
2015-01-09,47.61,47.82,46.9,47.19,43.74,23942800
2015-01-12,47.42,47.54,46.36,46.6,43.19,23651900
2015-01-13,46.97,47.91,46.06,46.36,42.97,35270600
2015-01-14,45.96,46.24,45.62,45.96,42.6,29719600
2015-01-15,46.22,46.38,45.41,45.48,42.15,32750800
2015-01-16,45.31,46.28,45.17,46.24,42.86,35695300
2015-01-20,46.3,46.65,45.57,46.39,42.99,36041400
2015-01-21,45.94,46.14,45.48,45.92,42.56,39081100
2015-01-22,46.38,47.14,46.08,47.13,43.68,35898000
2015-01-23,47.36,47.39,46.8,47.18,43.73,26047800
2015-01-26,47.0,47.13,46.24,47.01,43.57,42525500
2015-01-27,42.95,43.2,42.11,42.66,39.54,169164000
2015-01-28,42.74,42.79,41.16,41.19,38.18,84507100
2015-01-29,40.93,42.12,40.79,42.01,38.94,63585300
2015-01-30,41.55,41.58,40.35,40.4,37.44,78004900
2015-02-02,40.59,41.37,40.23,41.28,38.26,50352500
2015-02-03,41.63,41.93,41.05,41.6,38.56,51890200
2015-02-04,41.94,42.21,41.36,41.84,38.78,41614800
2015-02-05,42.22,42.64,41.86,42.45,39.34,36548200
2015-02-06,42.68,42.79,42.15,42.41,39.31,34311700
2015-02-09,42.24,42.74,42.21,42.36,39.26,31381100
2015-02-10,42.74,42.77,42.18,42.6,39.48,29670700
2015-02-11,42.65,42.65,42.21,42.38,39.28,38262500
2015-02-12,42.66,43.09,42.51,43.09,39.94,33268800
2015-02-13,43.38,43.87,43.15,43.87,40.66,40264900
2015-02-17,43.97,44.0,43.19,43.58,40.68,33695700
2015-02-18,43.63,43.7,43.39,43.53,40.63,27074900
2015-02-19,43.18,43.53,43.05,43.5,40.6,27603400
2015-02-20,43.51,43.88,43.29,43.86,40.94,29721100
2015-02-23,43.7,44.19,43.65,44.15,41.21,32518800
2015-02-24,44.15,44.3,43.92,44.09,41.15,25253000
2015-02-25,43.95,44.09,43.8,43.99,41.06,29759800
2015-02-26,43.99,44.23,43.89,44.06,41.13,28957300
2015-02-27,44.13,44.2,43.66,43.85,40.93,33807700
2015-03-02,43.67,44.19,43.55,43.88,40.96,31924000
2015-03-03,43.56,43.83,43.09,43.28,40.4,31748600
2015-03-04,43.01,43.21,42.88,43.06,40.19,25705800
2015-03-05,43.07,43.24,42.82,43.11,40.24,23193500
2015-03-06,43.0,43.11,42.15,42.36,39.54,36248800
2015-03-09,42.19,43.13,42.19,42.85,40.0,32108000
2015-03-10,42.35,42.71,42.03,42.03,39.23,38506100
2015-03-11,42.31,42.37,41.84,41.98,39.18,32215300
2015-03-12,41.33,41.65,40.86,41.02,38.29,59992500
2015-03-13,40.7,41.47,40.61,41.38,38.62,58007700
2015-03-16,41.47,41.64,41.28,41.56,38.79,35273500
2015-03-17,41.37,41.83,41.15,41.7,38.92,31587200
2015-03-18,41.43,42.83,41.33,42.5,39.67,43971800
2015-03-19,42.26,42.59,42.22,42.29,39.47,33879100
2015-03-20,42.56,42.98,42.49,42.88,40.02,71904500
2015-03-23,42.88,43.13,42.78,42.86,40.01,26049000
2015-03-24,42.78,43.17,42.75,42.9,40.04,25513300
2015-03-25,42.92,42.93,41.44,41.46,38.7,43469900
2015-03-26,41.22,41.61,40.92,41.21,38.47,37495600
2015-03-27,41.12,41.43,40.83,40.97,38.24,33820300
2015-03-30,41.1,41.54,40.91,40.96,38.23,35049700
2015-03-31,40.78,41.03,40.54,40.66,37.95,34887200
2015-04-01,40.6,40.76,40.31,40.72,38.01,36752000
2015-04-02,40.66,40.74,40.12,40.29,37.61,37487500
2015-04-06,40.34,41.78,40.18,41.55,38.78,39223700
2015-04-07,41.61,41.91,41.31,41.53,38.76,28809400
2015-04-08,41.46,41.69,41.04,41.42,38.66,24753400
2015-04-09,41.25,41.62,41.25,41.48,38.72,25723900
2015-04-10,41.63,41.95,41.41,41.72,38.94,28022000
2015-04-13,41.4,42.06,41.39,41.76,38.98,30276700
2015-04-14,41.8,42.03,41.39,41.65,38.88,24078000
2015-04-15,41.76,42.46,41.68,42.26,39.45,27343600
2015-04-16,41.95,42.34,41.82,42.16,39.35,22509700
2015-04-17,41.67,41.74,41.16,41.62,38.85,42387600
2015-04-20,41.73,43.17,41.68,42.91,40.05,45738800
2015-04-21,43.0,43.15,42.53,42.64,39.8,26013800
2015-04-22,42.67,43.13,42.55,42.99,40.13,25064300
2015-04-23,42.89,43.61,42.8,43.34,40.45,46309500
2015-04-24,45.66,48.14,45.65,47.87,44.68,130933700
2015-04-27,47.23,48.13,47.22,48.03,44.83,59248200
2015-04-28,47.78,49.21,47.7,49.16,45.89,60730800
2015-04-29,48.72,49.31,48.5,49.06,45.79,47804600
2015-04-30,48.7,49.54,48.6,48.64,45.4,64725500
2015-05-01,48.58,48.88,48.4,48.66,45.42,38937300
2015-05-04,48.37,48.87,48.18,48.24,45.03,34039500
2015-05-05,47.82,48.16,47.31,47.6,44.43,50369200
2015-05-06,47.57,47.77,46.02,46.28,43.2,52433000
2015-05-07,46.27,47.09,46.16,46.7,43.59,32971700
2015-05-08,47.55,47.98,47.52,47.75,44.57,35364900
2015-05-11,47.55,47.91,47.37,47.37,44.22,24609400
2015-05-12,46.85,47.68,46.42,47.35,44.2,29928300
2015-05-13,48.19,48.32,47.57,47.63,44.46,34184600
2015-05-14,48.03,48.82,48.03,48.72,45.48,32980900
2015-05-15,48.87,48.91,48.05,48.3,45.08,28642700
2015-05-18,47.98,48.22,47.61,48.01,44.81,23631000
2015-05-19,47.56,47.81,47.18,47.58,44.7,28574800
2015-05-20,47.39,47.93,47.27,47.58,44.7,25047900
2015-05-21,47.28,47.6,47.01,47.42,44.55,22410700
2015-05-22,47.3,47.35,46.82,46.9,44.06,25720600
2015-05-26,46.83,46.88,46.19,46.59,43.77,29581900
2015-05-27,46.82,47.77,46.62,47.61,44.73,27335600
2015-05-28,47.5,48.02,47.39,47.45,44.58,19283700
2015-05-29,47.43,47.57,46.59,46.86,44.02,35428100
2015-06-01,47.06,47.77,46.62,47.23,44.37,28837300
2015-06-02,46.93,47.35,46.62,46.92,44.08,21283400
2015-06-03,47.37,47.74,46.82,46.85,44.01,28002200
2015-06-04,46.79,47.16,46.2,46.36,43.55,27745500
2015-06-05,46.31,46.52,45.84,46.14,43.35,25438100
2015-06-08,46.3,46.43,45.67,45.73,42.96,21822300
2015-06-09,45.76,45.94,45.46,45.65,42.89,24406100
2015-06-10,45.79,46.83,45.69,46.61,43.79,28417400
2015-06-11,46.66,46.92,46.13,46.44,43.63,27347800
2015-06-12,46.22,46.47,45.9,45.97,43.19,23931000
2015-06-15,45.45,45.65,45.02,45.48,42.73,33254500
2015-06-16,45.35,46.24,45.3,45.83,43.06,27070300
2015-06-17,45.73,46.07,45.36,45.97,43.19,28704100
2015-06-18,46.22,46.8,46.17,46.72,43.89,32658300
2015-06-19,46.79,46.83,45.99,46.1,43.31,63837000
2015-06-22,46.33,46.72,46.16,46.23,43.43,20318100
2015-06-23,46.13,46.28,45.62,45.91,43.13,25896500
2015-06-24,45.67,46.25,45.55,45.64,42.88,34890900
2015-06-25,46.03,46.06,45.5,45.65,42.89,20616000
2015-06-26,45.65,46.28,45.03,45.26,42.52,49835300
2015-06-29,45.04,45.23,44.36,44.37,41.68,34081700
2015-06-30,44.71,44.72,43.94,44.15,41.48,35945400
2015-07-01,44.46,45.23,44.1,44.45,41.76,28343900
2015-07-02,44.48,44.75,44.06,44.4,41.71,21752000
2015-07-06,43.96,44.48,43.95,44.39,41.7,23034000
